year,watershed,sample,distance,otoSr,SE1,SrV,SrVcol
2007,Deer Creek,DC07_01,26.28,0.707157,9.00E-05,1.02,41.26984127
2007,Deer Creek,DC07_01,82.464,0.706627,8.00E-05,0.91,23.80952381
2007,Deer Creek,DC07_01,149.523,0.706108,0.00012,0.92,25.3968254
2007,Deer Creek,DC07_01,202.989,0.705201,0.00013,0.76,0
2007,Deer Creek,DC07_01,268.236,0.704663,0.00012,0.93,26.98412698
2007,Deer Creek,DC07_01,293.312,0.704202,0.00012,1.13,58.73015873
2007,Deer Creek,DC07_01,328.045,0.704106,0.00012,0.8,6.349206349
2007,Deer Creek,DC07_01,357.69,0.704419,0.00012,0.87,17.46031746
2007,Deer Creek,DC07_01,387.401,0.704682,8.00E-05,0.79,4.761904762
2007,Deer Creek,DC07_01,407.662,0.7043,0.00014,0.78,3.174603175
2007,Deer Creek,DC07_01,446.758,0.705701,0.00012,0.87,17.46031746
2007,Deer Creek,DC07_01,467.531,0.706218,8.00E-05,0.87,17.46031746
2007,Deer Creek,DC07_01,504.755,0.707667,0.00015,1.35,93.65079365
2007,Deer Creek,DC07_01,520.012,0.70803,8.00E-05,1.39,100
2007,Deer Creek,DC07_01,555.502,0.708923,7.00E-05,1.33,90.47619048
2007,Deer Creek,DC07_01,619.842,0.709175,1.00E-04,1.36,95.23809524
2007,Deer Creek,DC07_02,31.264,0.707056,1.00E-04,0.6,0
2007,Deer Creek,DC07_02,91.98,0.706336,0.00014,0.86,15.11627907
2007,Deer Creek,DC07_02,154.961,0.705636,1.00E-04,0.8,11.62790698
2007,Deer Creek,DC07_02,217.489,0.705051,0.00019,0.83,13.37209302
2007,Deer Creek,DC07_02,239.01,0.704893,0.00014,0.92,18.60465116
2007,Deer Creek,DC07_02,274.126,0.704031,0.00017,1.26,38.37209302
2007,Deer Creek,DC07_02,337.56,0.704039,0.00012,1.15,31.97674419
2007,Deer Creek,DC07_02,360.217,0.704684,1.00E-04,1.06,26.74418605
2007,Deer Creek,DC07_02,390.573,0.704495,0.00015,0.98,22.09302326
2007,Deer Creek,DC07_02,420.034,0.704976,0.00012,0.81,12.20930233
2007,Deer Creek,DC07_02,450.836,0.705846,0.00013,1.04,25.58139535
2007,Deer Creek,DC07_02,478.789,0.705414,0.00015,1.01,23.8372093
2007,Deer Creek,DC07_02,510.192,0.707727,9.00E-05,2,81.39534884
2007,Deer Creek,DC07_02,531.291,0.7079,8.00E-05,1.94,77.90697674
2007,Deer Creek,DC07_02,571.361,0.708788,1.00E-04,2.32,100
2007,Deer Creek,DC07_02,586.134,0.708577,1.00E-04,2.26,96.51162791
2007,Deer Creek,DC07_02,632.076,0.709112,5.00E-05,2.11,87.79069767
2007,Deer Creek,DC07_02,699.588,0.708722,8.00E-05,1.82,70.93023256
2007,Deer Creek,DC07_02,764.835,0.709096,7.00E-05,1.86,73.25581395
2007,Deer Creek,DC07_02,844.127,0.709033,8.00E-05,1.54,54.65116279
2007,Deer Creek,DC07_02,897.593,0.709204,0.00016,0.91,18.02325581
2007,Deer Creek,DC07_06,44.857,0.706982,1.00E-04,0.9,25
2007,Deer Creek,DC07_06,85.636,0.706224,0.00015,0.74,14.18918919
2007,Deer Creek,DC07_06,145.445,0.705741,9.00E-05,0.7,11.48648649
2007,Deer Creek,DC07_06,202.083,0.705475,0.00016,0.72,12.83783784
2007,Deer Creek,DC07_06,234.916,0.705678,0.00016,0.71,12.16216216
2007,Deer Creek,DC07_06,262.346,0.705009,0.00014,0.7,11.48648649
2007,Deer Creek,DC07_06,292.606,0.705318,1.00E-04,0.57,2.702702703
2007,Deer Creek,DC07_06,315.358,0.705295,0.00018,0.53,0
2007,Deer Creek,DC07_06,347.304,0.705362,0.00013,0.76,15.54054054
2007,Deer Creek,DC07_06,369.277,0.705753,7.00E-05,1.06,35.81081081
2007,Deer Creek,DC07_06,408.982,0.706556,9.00E-05,1.45,62.16216216
2007,Deer Creek,DC07_06,437.243,0.70726,1.00E-04,1.22,46.62162162
2007,Deer Creek,DC07_06,497.505,0.708771,7.00E-05,1.59,71.62162162
2007,Deer Creek,DC07_06,550.518,0.709014,7.00E-05,1.79,85.13513514
2007,Deer Creek,DC07_06,608.968,0.709016,5.00E-05,2.01,100
2007,Deer Creek,DC07_07,78.84,0.705305,2.00E-04,0.95,11.20689655
2007,Deer Creek,DC07_07,140.914,0.70525,0.00012,0.94,10.34482759
