"sample","reartype"
"DC07_06","EarlyOutmigrant"
"DC07_11","EarlyOutmigrant"
"DC08_13","EarlyOutmigrant"
"DC08_14","EarlyOutmigrant"
"DC08_24","EarlyOutmigrant"
"DC08_25","EarlyOutmigrant"
"DC18_68512","EarlyOutmigrant"
"FC10-11-13-004","EarlyOutmigrant"
"FC10-13-14-01","EarlyOutmigrant"
"FC10-14-13-01","EarlyOutmigrant"
"FC10-14-13-05","EarlyOutmigrant"
"FC10-9-002","EarlyOutmigrant"
"FC10-9-004","EarlyOutmigrant"
"FC10-9-006","EarlyOutmigrant"
"FC10-9-007","EarlyOutmigrant"
"FC10-9-13-2","EarlyOutmigrant"
"FC10-9-13-3","EarlyOutmigrant"
"FC10162014003","EarlyOutmigrant"
"MC07_04","EarlyOutmigrant"
"MC07_10","EarlyOutmigrant"
"MC07_12","EarlyOutmigrant"
"MC07_14","EarlyOutmigrant"
"MC07_15","EarlyOutmigrant"
"MC07_16","EarlyOutmigrant"
"MC07_20","EarlyOutmigrant"
"MC07_22","EarlyOutmigrant"
"DC07_01","IntermediateOutmigrant"
"DC07_02","IntermediateOutmigrant"
"DC07_09","IntermediateOutmigrant"
"DC07_12","IntermediateOutmigrant"
"DC07_14","IntermediateOutmigrant"
"DC07_15","IntermediateOutmigrant"
"DC07_16","IntermediateOutmigrant"
"DC08_05","IntermediateOutmigrant"
"DC08_10","IntermediateOutmigrant"
"DC08_11","IntermediateOutmigrant"
"DC08_23","IntermediateOutmigrant"
"DC08_27","IntermediateOutmigrant"
"FC10-11-13-001","IntermediateOutmigrant"
"FC10-11-13-005","IntermediateOutmigrant"
"FC10-11-13-006","IntermediateOutmigrant"
"FC10-4-13-001","IntermediateOutmigrant"
"FC10-9-001","IntermediateOutmigrant"
"FC10-9-13-002","IntermediateOutmigrant"
"FC10-9-13-1","IntermediateOutmigrant"
"FC10/3/2014 #1","IntermediateOutmigrant"
"MC07_08","IntermediateOutmigrant"
"MC07_11","IntermediateOutmigrant"
"MC07_21","IntermediateOutmigrant"
"DC07_07","LateOutmigrant"
"DC07_08","LateOutmigrant"
"DC07_13","LateOutmigrant"
"DC07_17","LateOutmigrant"
"DC08_04","LateOutmigrant"
"DC08_12","LateOutmigrant"
"DC08_26","LateOutmigrant"
"DC14_68521","LateOutmigrant"
"DC18_18974","LateOutmigrant"
"DC18_18975","LateOutmigrant"
"DC18_18976","LateOutmigrant"
"DC18_18977","LateOutmigrant"
"DC18_18978","LateOutmigrant"
"DC18_18979","LateOutmigrant"
"DC18_18980","LateOutmigrant"
"DC18_18981","LateOutmigrant"
"DC18_18982","LateOutmigrant"
"DC18_18983","LateOutmigrant"
"DC18_18984","LateOutmigrant"
"DC18_18985","LateOutmigrant"
"DC18_18986","LateOutmigrant"
"DC18_18987","LateOutmigrant"
"DC18_18988","LateOutmigrant"
"DC18_68501","LateOutmigrant"
"DC18_68502","LateOutmigrant"
"DC18_68503","LateOutmigrant"
"DC18_68504","LateOutmigrant"
"DC18_68505","LateOutmigrant"
"DC18_68506","LateOutmigrant"
"DC18_68507","LateOutmigrant"
"DC18_68508","LateOutmigrant"
"DC18_68509","LateOutmigrant"
"DC18_68510","LateOutmigrant"
"DC18_68511","LateOutmigrant"
"DC18_68513","LateOutmigrant"
"DC18_68515","LateOutmigrant"
"DC18_68516","LateOutmigrant"
"DC18_68517","LateOutmigrant"
"DC18_68518","LateOutmigrant"
"DC18_68519","LateOutmigrant"
"DC18_68520","LateOutmigrant"
"FC001-1005-2012","LateOutmigrant"
"FC001-1012-2012","LateOutmigrant"
"FC002-1008-2012","LateOutmigrant"
"FC003-1008-2012","LateOutmigrant"
"FC004-1008-2012","LateOutmigrant"
"FC005-1008-2012","LateOutmigrant"
"FC006-1008-2012","LateOutmigrant"
"FC007-1008-2012","LateOutmigrant"
"FC008-1008-2012","LateOutmigrant"
"FC011-1005-2012","LateOutmigrant"
"FC012-1005-2012","LateOutmigrant"
"FC10-09-14-#1","LateOutmigrant"
"FC10-1-13 001","LateOutmigrant"
"FC10-10-14 #1","LateOutmigrant"
"FC10-10-14 #2","LateOutmigrant"
"FC10-10-14 #3","LateOutmigrant"
"FC10-11-13-003","LateOutmigrant"
"FC10-14-13-03","LateOutmigrant"
"FC10-14-13-04","LateOutmigrant"
"FC10-16-14 #1","LateOutmigrant"
"FC10-9-005","LateOutmigrant"
"FC10-9-13-001","LateOutmigrant"
"FC10/3/2014 #2","LateOutmigrant"
"FC10/3/2014 #3","LateOutmigrant"
"FC10162014001","LateOutmigrant"
"FC10162014002","LateOutmigrant"
"MC07_01","LateOutmigrant"
"MC07_02","LateOutmigrant"
"MC07_03","LateOutmigrant"
"MC07_07","LateOutmigrant"
"MC07_09","LateOutmigrant"
"MC07_13","LateOutmigrant"
"MC07_17","LateOutmigrant"
