"Length","Count","Date","Year","Month","Day"
32,1,1995-12-09,1995,12,9
36,3,1995-12-14,1995,12,14
36,3,1995-12-14,1995,12,14
36,3,1995-12-14,1995,12,14
35,1,1995-12-14,1995,12,14
34,5,1996-02-08,1996,2,8
34,5,1996-02-08,1996,2,8
34,5,1996-02-08,1996,2,8
34,5,1996-02-08,1996,2,8
34,5,1996-02-08,1996,2,8
35,5,1996-02-08,1996,2,8
35,5,1996-02-08,1996,2,8
35,5,1996-02-08,1996,2,8
35,5,1996-02-08,1996,2,8
35,5,1996-02-08,1996,2,8
38,1,1996-02-08,1996,2,8
39,4,1996-02-08,1996,2,8
39,4,1996-02-08,1996,2,8
39,4,1996-02-08,1996,2,8
39,4,1996-02-08,1996,2,8
40,1,1996-02-08,1996,2,8
35,2,1996-02-09,1996,2,9
35,2,1996-02-09,1996,2,9
36,4,1996-02-09,1996,2,9
36,4,1996-02-09,1996,2,9
36,4,1996-02-09,1996,2,9
36,4,1996-02-09,1996,2,9
37,3,1996-02-09,1996,2,9
37,3,1996-02-09,1996,2,9
37,3,1996-02-09,1996,2,9
37,1,1996-02-10,1996,2,10
35,1,1996-02-10,1996,2,10
36,1,1996-02-10,1996,2,10
38,2,1996-02-11,1996,2,11
38,2,1996-02-11,1996,2,11
37,3,1996-02-11,1996,2,11
37,3,1996-02-11,1996,2,11
37,3,1996-02-11,1996,2,11
36,5,1996-02-11,1996,2,11
36,5,1996-02-11,1996,2,11
36,5,1996-02-11,1996,2,11
36,5,1996-02-11,1996,2,11
36,5,1996-02-11,1996,2,11
34,2,1996-02-11,1996,2,11
34,2,1996-02-11,1996,2,11
35,1,1996-02-11,1996,2,11
34,1,1996-02-12,1996,2,12
35,4,1996-02-12,1996,2,12
35,4,1996-02-12,1996,2,12
35,4,1996-02-12,1996,2,12
35,4,1996-02-12,1996,2,12
36,3,1996-02-12,1996,2,12
36,3,1996-02-12,1996,2,12
36,3,1996-02-12,1996,2,12
37,1,1996-02-12,1996,2,12
39,1,1996-02-12,1996,2,12
35,6,1996-02-13,1996,2,13
35,6,1996-02-13,1996,2,13
35,6,1996-02-13,1996,2,13
35,6,1996-02-13,1996,2,13
35,6,1996-02-13,1996,2,13
35,6,1996-02-13,1996,2,13
37,1,1996-02-13,1996,2,13
34,2,1996-02-13,1996,2,13
34,2,1996-02-13,1996,2,13
39,3,1996-02-13,1996,2,13
39,3,1996-02-13,1996,2,13
39,3,1996-02-13,1996,2,13
35,4,1996-02-14,1996,2,14
35,4,1996-02-14,1996,2,14
35,4,1996-02-14,1996,2,14
35,4,1996-02-14,1996,2,14
36,1,1996-02-14,1996,2,14
37,1,1996-02-14,1996,2,14
34,1,1996-02-15,1996,2,15
36,3,1996-02-15,1996,2,15
36,3,1996-02-15,1996,2,15
36,3,1996-02-15,1996,2,15
39,1,1996-02-15,1996,2,15
37,3,1996-02-16,1996,2,16
37,3,1996-02-16,1996,2,16
37,3,1996-02-16,1996,2,16
33,1,1996-02-16,1996,2,16
34,1,1996-02-16,1996,2,16
35,1,1996-02-16,1996,2,16
36,1,1996-02-16,1996,2,16
38,3,1996-02-17,1996,2,17
38,3,1996-02-17,1996,2,17
38,3,1996-02-17,1996,2,17
37,1,1996-02-17,1996,2,17
33,1,1996-02-17,1996,2,17
36,1,1996-02-17,1996,2,17
38,1,1996-02-27,1996,2,27
41,1,1996-02-27,1996,2,27
38,1,1996-02-28,1996,2,28
39,1,1996-03-06,1996,3,6
37,1,1996-03-07,1996,3,7
45,1,1996-03-09,1996,3,9
36,1,1996-03-12,1996,3,12
36,1,1996-03-13,1996,3,13
37,1,1996-03-13,1996,3,13
38,2,1996-03-13,1996,3,13
38,2,1996-03-13,1996,3,13
38,5,1996-03-14,1996,3,14
38,5,1996-03-14,1996,3,14
38,5,1996-03-14,1996,3,14
38,5,1996-03-14,1996,3,14
38,5,1996-03-14,1996,3,14
39,1,1996-03-14,1996,3,14
43,1,1996-03-14,1996,3,14
45,1,1996-03-14,1996,3,14
50,1,1996-03-14,1996,3,14
37,1,1996-03-16,1996,3,16
34,1,1996-03-19,1996,3,19
36,1,1996-03-19,1996,3,19
34,1,1996-03-23,1996,3,23
36,2,1996-03-23,1996,3,23
36,2,1996-03-23,1996,3,23
33,1,1996-03-24,1996,3,24
37,3,1996-03-24,1996,3,24
37,3,1996-03-24,1996,3,24
37,3,1996-03-24,1996,3,24
36,2,1996-03-24,1996,3,24
36,2,1996-03-24,1996,3,24
34,2,1996-03-24,1996,3,24
34,2,1996-03-24,1996,3,24
35,1,1996-03-24,1996,3,24
49,1,1996-03-27,1996,3,27
34,2,1996-03-28,1996,3,28
34,2,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
35,8,1996-03-28,1996,3,28
36,5,1996-03-28,1996,3,28
36,5,1996-03-28,1996,3,28
36,5,1996-03-28,1996,3,28
36,5,1996-03-28,1996,3,28
36,5,1996-03-28,1996,3,28
37,2,1996-03-28,1996,3,28
37,2,1996-03-28,1996,3,28
